L (um),FW (um),V (V),PULL-IN,PULL-OUT
10,6,60,,
10,6,60,,
10,7,60,,
10,7,60,,
10,7,60,,
10,8,60,,
10,8,60,,
10,8,60,,
10,2,70,,
10,2,70,,
10,2,70,,
10,3,70,40.6,21.8
10,3,70,,
10,3,70,,
10,4,70,41,23.8
10,4,70,,
10,4,70,,
10,5,70,,
10,5,70,,
10,5,70,,
10,6,70,,
10,6,70,,
10,6,70,,
10,7,70,,
10,7,70,,
10,7,70,,
10,8,70,,
10,8,70,,
10,8,70,,
10,2,80,,
10,2,80,,
10,2,80,,
10,3,80,35.4,22.8
10,3,80,,
10,3,80,,
10,4,80,35.2,23.2
10,4,80,,
10,4,80,,
10,5,80,,
10,5,80,,
10,5,80,,
10,6,80,,
10,6,80,,
10,6,80,,
10,7,80,,
10,7,80,,
10,7,80,,
10,8,80,,
10,8,80,,
10,8,80,,
10,2,90,,
10,2,90,,
10,2,90,,
10,3,90,,
10,3,90,,
10,3,90,,
10,4,90,,
10,4,90,,
10,4,90,,
10,5,90,,
10,5,90,,
10,5,90,,
10,6,90,,
10,6,90,,
10,6,90,,
10,7,90,,
10,7,90,,
10,7,90,,
10,8,90,,
10,8,90,,
10,8,90,,
10,2,100,,
10,2,100,,
10,2,100,,
10,3,100,,
10,3,100,,
10,3,100,,
10,4,100,,
10,4,100,,
10,4,100,,
10,5,100,,
10,5,100,,
10,5,100,,
10,6,100,,
10,6,100,,
10,6,100,,
10,7,100,,
10,7,100,,
10,7,100,,
10,8,100,,
10,8,100,,
10,8,100,,
20,2,10,,
20,2,10,,
20,2,10,,
20,3,10,NP,NP
20,3,10,,
20,3,10,,
20,4,10,,
20,4,10,NP,NP
20,4,10,,
20,5,10,,
20,5,10,,
20,5,10,,
20,6,10,NP,NP
20,6,10,,
20,6,10,,
20,7,10,NP,NP
20,7,10,,
20,7,10,,
20,8,10,,
20,8,10,,
20,8,10,,
20,2,20,,
20,2,20,,
20,2,20,,
20,3,20,NP,NP
20,3,20,,
20,3,20,,
20,4,20,,
20,4,20,NP,NP
20,4,20,,
20,5,20,,
20,5,20,,
20,5,20,,
20,6,20,NP,NP
20,6,20,,
20,6,20,,
20,7,20,NP,NP
20,7,20,,
20,7,20,,
20,8,20,,
20,8,20,,
20,8,20,,
20,2,30,,
20,2,30,,
20,2,30,,
20,3,30,NP,NP
20,3,30,,
20,3,30,,
20,4,30,,
20,4,30,NP,NP
20,4,30,,
20,5,30,,
20,5,30,,
20,5,30,,
20,6,30,NP,NP
20,6,30,,
20,6,30,,
20,7,30,NP,NP
20,7,30,,
20,7,30,,
20,8,30,,
20,8,30,,
20,8,30,,
20,2,40,,
20,2,40,,
20,2,40,,
20,3,40,61,26
20,3,40,,
20,3,40,,
20,4,40,,
20,4,40,60.4,25.6
20,4,40,,
20,5,40,,
20,5,40,,
20,5,40,,
20,6,40,63.4,28.8
20,6,40,,
20,6,40,,
20,7,40,74.4,27.4
20,7,40,,
20,7,40,,
20,8,40,,
20,8,40,,
20,8,40,,
20,2,50,,
20,2,50,,
20,2,50,,
20,3,50,43.8,25
20,3,50,,
20,3,50,,
20,4,50,,
20,4,50,42.6,25
20,4,50,,
20,5,50,,
20,5,50,,
20,5,50,,
20,6,50,45.6,28.4
20,6,50,,
20,6,50,,
20,7,50,49.2,26.2
20,7,50,,
20,7,50,,
20,8,50,,
20,8,50,,
20,8,50,,
20,2,60,,
20,2,60,,
20,2,60,,
20,3,60,34.6,23.2
20,3,60,,
20,3,60,,
20,4,60,,
20,4,60,33.4,24.6
20,4,60,,
20,5,60,,
20,5,60,,
20,5,60,,
20,6,60,37,27.6
20,6,60,,
20,6,60,,
20,7,60,39.2,25.8
20,7,60,,
20,7,60,,
20,8,60,,
20,8,60,,
20,8,60,,
20,2,70,,
20,2,70,,
20,2,70,,
20,3,70,29.4,22.4
20,3,70,,
20,3,70,,
20,4,70,,
20,4,70,28.8,22.4
20,4,70,,
20,5,70,,
20,5,70,,
20,5,70,,
20,6,70,31.4,27
20,6,70,,
20,6,70,,
20,7,70,33.3,25.2
20,7,70,,
20,7,70,,
20,8,70,,
20,8,70,,
20,8,70,,
20,2,80,,
20,2,80,,
20,2,80,,
20,3,80,26,22
20,3,80,,
20,3,80,,
20,4,80,,
20,4,80,25.2,22
20,4,80,,
20,5,80,,
20,5,80,,
20,5,80,,
20,6,80,27.4,24.4
20,6,80,,
20,6,80,,
20,7,80,28.8,23.4
20,7,80,,
20,7,80,,
20,8,80,,
20,8,80,,
20,8,80,,
20,2,90,,
20,2,90,,
20,2,90,,
20,3,90,,
20,3,90,,
20,3,90,,
20,4,90,,
20,4,90,,
20,4,90,,
20,5,90,,
20,5,90,,
20,5,90,,
20,6,90,,
20,6,90,,
20,6,90,,
20,7,90,,
20,7,90,,
20,7,90,,
20,8,90,,
20,8,90,,
20,8,90,,
20,2,100,,
20,2,100,,
20,2,100,,
20,3,100,,
20,3,100,,
20,3,100,,
20,4,100,,
20,4,100,,
20,4,100,,
20,5,100,,
20,5,100,,
20,5,100,,
20,6,100,,
20,6,100,,
20,6,100,,
20,7,100,,
20,7,100,,
20,7,100,,
20,8,100,,
20,8,100,,
20,8,100,,
30,2,10,,
30,2,10,,
30,2,10,,
30,3,10,NP,NP
30,3,10,NP,NP
30,3,10,,
30,4,10,NP,NP
30,4,10,NP,NP
30,4,10,,
30,5,10,NP,NP
30,5,10,NP,NP
30,5,10,,
30,6,10,NP,NP
30,6,10,NP,NP
30,6,10,,
30,7,10,NP,NP
30,7,10,NP,NP
30,7,10,,
30,8,10,NP,NP
30,8,10,NP,NP
30,8,10,,
30,2,20,,
30,2,20,,
30,2,20,,
30,3,20,NP,NP
30,3,20,NP,NP
30,3,20,,
30,4,20,NP,NP
30,4,20,NP,NP
30,4,20,,
30,5,20,NP,NP
30,5,20,NP,NP
30,5,20,,
30,6,20,NP,NP
30,6,20,NP,NP
30,6,20,,
30,7,20,NP,NP
30,7,20,NP,NP
30,7,20,,
30,8,20,NP,NP
30,8,20,NP,NP
30,8,20,,
30,2,30,,
30,2,30,,
30,2,30,,
30,3,30,86.8,29.2
30,3,30,81.8,29.2
30,3,30,,
30,4,30,87.6,30.8
30,4,30,85,29.8
30,4,30,,
30,5,30,93.6,30.4
30,5,30,91.2,29.6
30,5,30,,
30,6,30,85.6,32.6
30,6,30,86,33
30,6,30,,
30,7,30,155.4,27.4
30,7,30,NP,NP
30,7,30,,
30,8,30,145.8,27
30,8,30,NP,NP
30,8,30,,
30,2,40,,
30,2,40,,
30,2,40,,
30,3,40,47.8,28.4
30,3,40,45.8,28
30,3,40,,
30,4,40,49.4,29.4
30,4,40,47.2,29
30,4,40,,
30,5,40,51.4,30
30,5,40,49.2,29
30,5,40,,
30,6,40,51.2,32.4
30,6,40,50.8,31.2
30,6,40,,
30,7,40,56.6,29.8
30,7,40,54.4,
30,7,40,,
30,8,40,57.2,30.8
30,8,40,55.6,29.6
30,8,40,,
30,2,50,,
30,2,50,,
30,2,50,,
30,3,50,35.8,27.2
30,3,50,34,27
30,3,50,,
30,4,50,37.2,28.2
30,4,50,35.6,27
30,4,50,,
30,5,50,38.4,29.4
30,5,50,36.8,28.2
30,5,50,,
30,6,50,39,31.6
30,6,50,38.4,30.6
30,6,50,,
30,7,50,41.6,28.2
30,7,50,39.8,
30,7,50,,
30,8,50,42.4,30
30,8,50,41.2,29.2
30,8,50,,
30,2,60,,
30,2,60,,
30,2,60,,
30,3,60,29.6,26.2
30,3,60,27.6,25.8
30,3,60,,
30,4,60,31.4,26.8
30,4,60,29.2,26
30,4,60,,
30,5,60,31,28
30,5,60,30.2,26.2
30,5,60,,
30,6,60,31.2,29.8
30,6,60,31,29.4
30,6,60,,
30,7,60,33.8,27.2
30,7,60,32.8,
30,7,60,,
30,8,60,34.2,29
30,8,60,33.6,28.4
30,8,60,,
30,2,70,,
30,2,70,,
30,2,70,,
30,3,70,25.2,24
30,3,70,24.6,24.2
30,3,70,,
30,4,70,26.6,25.8
30,4,70,24.8,26
30,4,70,,
30,5,70,26.8,27.2
30,5,70,26.2,25.2
30,5,70,,
30,6,70,27.7,28
30,6,70,26.6,27.2
30,6,70,,
30,7,70,28.6,26.4
30,7,70,27.2,
30,7,70,,
30,8,70,29.6,27.6
30,8,70,28,27.2
30,8,70,,
30,2,80,,
30,2,80,,
30,2,80,,
30,3,80,22.2,22.8
30,3,80,21.4,22.8
30,3,80,,
30,4,80,22.6,23.6
30,4,80,21.6,24.4
30,4,80,,
30,5,80,23.8,25
30,5,80,22.4,24.8
30,5,80,,
30,6,80,23.8,26.6
30,6,80,23.2,
30,6,80,,
30,7,80,25.2,24.8
30,7,80,23.6,
30,7,80,,
30,8,80,25.2,25.8
30,8,80,24.8,24.8
30,8,80,,
30,2,90,,
30,2,90,,
30,2,90,,
30,3,90,,
30,3,90,,
30,3,90,,
30,4,90,,
30,4,90,,
30,4,90,,
30,5,90,,
30,5,90,,
30,5,90,,
30,6,90,,
30,6,90,,
30,6,90,,
30,7,90,,
30,7,90,,
30,7,90,,
30,8,90,,
30,8,90,,
30,8,90,,
30,2,100,,
30,2,100,,
30,2,100,,
30,3,100,,
30,3,100,,
30,3,100,,
30,4,100,,
30,4,100,,
30,4,100,,
30,5,100,,
30,5,100,,
30,5,100,,
30,6,100,,
30,6,100,,
30,6,100,,
30,7,100,,
30,7,100,,
30,7,100,,
30,8,100,,
30,8,100,,
30,8,100,,
40,2,10,,
40,2,10,,
40,2,10,,
40,3,10,NP,NP
40,3,10,NP,NP
40,3,10,,
40,4,10,NP,NP
40,4,10,,
40,4,10,,
40,5,10,NP,NP
40,5,10,,
40,5,10,,
40,6,10,NP,NP
40,6,10,,
40,6,10,,
40,7,10,NP,NP
40,7,10,NP,NP
40,7,10,,
40,8,10,NP,NP
40,8,10,,
40,8,10,,
40,2,20,,
40,2,20,,
40,2,20,,
40,3,20,NP,NP
40,3,20,NP,NP
40,3,20,,
40,4,20,NP,NP
40,4,20,,
40,4,20,,
40,5,20,NP,NP
40,5,20,,
40,5,20,,
40,6,20,NP,NP
40,6,20,,
40,6,20,,
40,7,20,NP,NP
40,7,20,NP,NP
40,7,20,,
40,8,20,NP,NP
40,8,20,,
40,8,20,,
40,2,30,,
40,2,30,,
40,2,30,,
40,3,30,65.8,31.8
40,3,30,63.2,31.6
40,3,30,,
40,4,30,64.2,33.8
40,4,30,,
40,4,30,,
40,5,30,68.4,35.6
40,5,30,,
40,5,30,,
40,6,30,69.2,38
40,6,30,,
40,6,30,,
40,7,30,80.6,34.8
40,7,30,80.4,33.6
40,7,30,,
40,8,30,78.8,35.8
40,8,30,,
40,8,30,,
40,2,40,,
40,2,40,,
40,2,40,,
40,3,40,41.4,31.6
40,3,40,39.8,30.4
40,3,40,,
40,4,40,,32.6
40,4,40,,
40,4,40,,
40,5,40,43.6,33.6
40,5,40,,
40,5,40,,
40,6,40,45.6,36.4
40,6,40,,
40,6,40,,
40,7,40,47.8,34.2
40,7,40,47.6,33.2
40,7,40,,
40,8,40,48.6,35
40,8,40,,
40,8,40,,
40,2,50,,
40,2,50,,
40,2,50,,
40,3,50,32.6,30
40,3,50,30.8,28.8
40,3,50,,
40,4,50,,31.2
40,4,50,,
40,4,50,,
40,5,50,32.8,32
40,5,50,,
40,5,50,,
40,6,50,34,35.2
40,6,50,,
40,6,50,,
40,7,50,36,33.6
40,7,50,36.8,32
40,7,50,,
40,8,50,36.8,33.6
40,8,50,,
40,8,50,,
40,2,60,,
40,2,60,,
40,2,60,,
40,3,60,26.6,27.8
40,3,60,26,25.6
40,3,60,,
40,4,60,,30.2
40,4,60,,
40,4,60,,
40,5,60,28.4,31.2
40,5,60,,
40,5,60,,
40,6,60,29.2,32
40,6,60,,
40,6,60,,
40,7,60,29.2,32.2
40,7,60,30,30.4
40,7,60,,
40,8,60,29.8,32.4
40,8,60,,
40,8,60,,
40,2,70,,
40,2,70,,
40,2,70,,
40,3,70,23.2,24.6
40,3,70,22.4,23.6
40,3,70,,
40,4,70,23.2,28.6
40,4,70,,
40,4,70,,
40,5,70,24,30.4
40,5,70,,
40,5,70,,
40,6,70,23.6,32
40,6,70,,
40,6,70,,
40,7,70,25,30.4
40,7,70,25.6,28.4
40,7,70,,
40,8,70,26.4,29.6
40,8,70,,
40,8,70,,
40,2,80,,
40,2,80,,
40,2,80,,
40,3,80,20.2,21.8
40,3,80,18.8,22
40,3,80,,
40,4,80,20,24.6
40,4,80,,
40,4,80,,
40,5,80,20.8,27.6
40,5,80,,
40,5,80,,
40,6,80,21.6,29.2
40,6,80,,
40,6,80,,
40,7,80,22,
40,7,80,23.2,28.4
40,7,80,,
40,8,80,23,28.8
40,8,80,,
40,8,80,,
40,2,90,,
40,2,90,,
40,2,90,,
40,3,90,,
40,3,90,,
40,3,90,,
40,4,90,,
40,4,90,,
40,4,90,,
40,5,90,,
40,5,90,,
40,5,90,,
40,6,90,,
40,6,90,,
40,6,90,,
40,7,90,,
40,7,90,,
40,7,90,,
40,8,90,,
40,8,90,,
40,8,90,,
40,2,100,,
40,2,100,,
40,2,100,,
40,3,100,,
40,3,100,,
40,3,100,,
40,4,100,,
40,4,100,,
40,4,100,,
40,5,100,,
40,5,100,,
40,5,100,,
40,6,100,,
40,6,100,,
40,6,100,,
40,7,100,,
40,7,100,,
40,7,100,,
40,8,100,,
40,8,100,,
40,8,100,,
50,2,10,,
50,2,10,,
50,2,10,,
50,3,10,NP,NP
50,3,10,NP,NP
50,3,10,,
50,4,10,NP,NP
50,4,10,NP,NP
50,4,10,,
50,5,10,NP,NP
50,5,10,NP,NP
50,5,10,,
50,6,10,NP,NP
50,6,10,NP,NP
50,6,10,,
50,7,10,NP,NP
50,7,10,,
50,7,10,,
50,8,10,NP,NP
50,8,10,,
50,8,10,,
50,2,20,,
50,2,20,,
50,2,20,,
50,3,20,NP,NP
50,3,20,NP,NP
50,3,20,,
50,4,20,NP,NP
50,4,20,NP,NP
50,4,20,,
50,5,20,NP,NP
50,5,20,NP,NP
50,5,20,,
50,6,20,NP,NP
50,6,20,NP,NP
50,6,20,,
50,7,20,NP,NP
50,7,20,,
50,7,20,,
50,8,20,NP,NP
50,8,20,,
50,8,20,,
50,2,30,,
50,2,30,,
50,2,30,,
50,3,30,56,38.8
50,3,30,63.6,32.4
50,3,30,,
50,4,30,57.2,39
50,4,30,65.8,34.6
50,4,30,,
50,5,30,62,41.8
50,5,30,69,34.4
50,5,30,,
50,6,30,62.8,45.6
50,6,30,69.4,39.6
50,6,30,,
50,7,30,80.8,35
50,7,30,,
50,7,30,,
50,8,30,80,36.2
50,8,30,,
50,8,30,,
50,2,40,,
50,2,40,,
50,2,40,,
50,3,40,37,36
50,3,40,40.8,30.4
50,3,40,,
50,4,40,37.8,38.4
50,4,40,41.8,33.2
50,4,40,,
50,5,40,40.8,40.8
50,5,40,44.2,33.4
50,5,40,,
50,6,40,42.6,44.2
50,6,40,44.8,38.2
50,6,40,,
50,7,40,47.6,33.8
50,7,40,,
50,7,40,,
50,8,40,47.8,35.2
50,8,40,,
50,8,40,,
50,2,50,,
50,2,50,,
50,2,50,,
50,3,50,30.2,34.4
50,3,50,30.8,28.8
50,3,50,,
50,4,50,29.2,37.2
50,4,50,32.6,31.6
50,4,50,,
50,5,50,31.6,39.2
50,5,50,33.2,32.2
50,5,50,,
50,6,50,32.3,42.4
50,6,50,34.4,37.2
50,6,50,,
50,7,50,36.2,33.2
50,7,50,,
50,7,50,,
50,8,50,37,34.4
50,8,50,,
50,8,50,,
50,2,60,,
50,2,60,,
50,2,60,,
50,3,60,23.4,29.3
50,3,60,25,26.4
50,3,60,,
50,4,60,24.8,34.6
50,4,60,26.2,30.2
50,4,60,,
50,5,60,25.6,36.8
50,5,60,27.2,30.2
50,5,60,,
50,6,60,27.2,40.8
50,6,60,27.4,34
50,6,60,,
50,7,60,29.8,31
50,7,60,,
50,7,60,,
50,8,60,30.2,32.6
50,8,60,,
50,8,60,,
50,2,70,,
50,2,70,,
50,2,70,,
50,3,70,,
50,3,70,21.8,22.8
50,3,70,,
50,4,70,21,31.4
50,4,70,23.2,28.8
50,4,70,,
50,5,70,22.4,33.4
50,5,70,23.2,29
50,5,70,,
50,6,70,22.8,37.2
50,6,70,23.8,32
50,6,70,,
50,7,70,25,28.6
50,7,70,,
50,7,70,,
50,8,70,26.4,30.6
50,8,70,,
50,8,70,,
50,2,80,,
50,2,80,,
50,2,80,,
50,3,80,,
50,3,80,19.2,20
50,3,80,,
50,4,80,18.4,27
50,4,80,20,27
50,4,80,,
50,5,80,19,30.8
50,5,80,20.8,26.2
50,5,80,,
50,6,80,19.8,33
50,6,80,22.2,29.2
50,6,80,,
50,7,80,22.4,27.4
50,7,80,,
50,7,80,,
50,8,80,23.4,28.2
50,8,80,,
50,8,80,,
50,2,90,,
50,2,90,,
50,2,90,,
50,3,90,,
50,3,90,,
50,3,90,,
50,4,90,,
50,4,90,,
50,4,90,,
50,5,90,.,
50,5,90,,
50,5,90,,
50,6,90,,
50,6,90,,
50,6,90,,
50,7,90,,
50,7,90,,
50,7,90,,
50,8,90,,
50,8,90,,
50,8,90,,
50,2,100,,
50,2,100,,
50,2,100,,
50,3,100,,
50,3,100,,
50,3,100,,
50,4,100,,
50,4,100,,
50,4,100,,
50,5,100,13.8,
50,5,100,,
50,5,100,,
50,6,100,,
50,6,100,,
50,6,100,,
50,7,100,,
50,7,100,,
50,7,100,,
50,8,100,,
50,8,100,,
50,8,100,,
60,2,10,,
60,2,10,,
60,2,10,,
60,3,10,NP,NP
60,3,10,NP,NP
60,3,10,,
60,4,10,NP,NP
60,4,10,,
60,4,10,,
60,5,10,NP,NP
60,5,10,NP,NP
60,5,10,,
60,6,10,NP,NP
60,6,10,NP,NP
60,6,10,,
60,7,10,,
60,7,10,,
60,7,10,,
60,8,10,NP,NP
60,8,10,NP,NP
60,8,10,,
60,2,20,,
60,2,20,,
60,2,20,,
60,3,20,NP,NP
60,3,20,NP,NP
60,3,20,,
60,4,20,NP,NP
60,4,20,,
60,4,20,,
60,5,20,NP,NP
60,5,20,NP,NP
60,5,20,,
60,6,20,NP,NP
60,6,20,NP,NP
60,6,20,,
60,7,20,,
60,7,20,,
60,7,20,,
60,8,20,NP,NP
60,8,20,NP,NP
60,8,20,,
60,2,30,,
60,2,30,,
60,2,30,,
60,3,30,49.6,47
60,3,30,49.8,45.2
60,3,30,,
60,4,30,54.2,46.6
60,4,30,,
60,4,30,,
60,5,30,56.8,47
60,5,30,57,45.4
60,5,30,,
60,6,30,,53.2
60,6,30,58.4,50.8
60,6,30,,
60,7,30,,
60,7,30,,
60,7,30,,
60,8,30,65.2,46.4
60,8,30,65,45.8
60,8,30,,
60,2,40,,
60,2,40,,
60,2,40,,
60,3,40,34,44.2
60,3,40,34.4,33.8
60,3,40,,
60,4,40,36.6,45.6
60,4,40,,
60,4,40,,
60,5,40,38.4,46
60,5,40,39,44
60,5,40,,
60,6,40,40.8,51.4
60,6,40,39.2,50.2
60,6,40,,
60,7,40,,
60,7,40,,
60,7,40,,
60,8,40,43.6,44.8
60,8,40,43,44
60,8,40,,
60,2,50,,
60,2,50,,
60,2,50,,
60,3,50,X,X
60,3,50,X,X
60,3,50,,
60,4,50,28.2,41.2
60,4,50,,
60,4,50,,
60,5,50,29.8,43.8
60,5,50,29.8,42
60,5,50,,
60,6,50,30.6,49.8
60,6,50,30.4,48.2
60,6,50,,
60,7,50,,
60,7,50,,
60,7,50,,
60,8,50,34.2,44
60,8,50,33.6,42.2
60,8,50,,
60,2,60,,
60,2,60,,
60,2,60,,
60,3,60,X,X
60,3,60,X,X
60,3,60,,
60,4,60,23.6,39
60,4,60,,
60,4,60,,
60,5,60,24.4,40.8
60,5,60,24.6,39.8
60,5,60,,
60,6,60,25.8,42
60,6,60,25.8,45
60,6,60,,
60,7,60,,
60,7,60,,
60,7,60,,
60,8,60,28.6,41.6
60,8,60,27.2,39.6
60,8,60,,
60,2,70,,
60,2,70,,
60,2,70,,
60,3,70,X,X
60,3,70,X,X
60,3,70,,
60,4,70,19.8,33.4
60,4,70,,
60,4,70,,
60,5,70,21,37.8
60,5,70,21.2,35.6
60,5,70,,
60,6,70,22,39.6
60,6,70,21.8,40.2
60,6,70,,
60,7,70,,
60,7,70,,
60,7,70,,
60,8,70,24.2,38.2
60,8,70,24.4,37.6
60,8,70,,
60,2,80,,
60,2,80,,
60,2,80,,
60,3,80,X,X
60,3,80,X,X
60,3,80,,
60,4,80,X,X
60,4,80,,
60,4,80,,
60,5,80,18.8,32.4
60,5,80,18.4,31.2
60,5,80,,
60,6,80,19.6,39.6
60,6,80,19.2,35.4
60,6,80,,
60,7,80,,
60,7,80,,
60,7,80,,
60,8,80,18.8,35.2
60,8,80,21.8,34.4
60,8,80,,
60,2,90,,
60,2,90,,
60,2,90,,
60,3,90,,
60,3,90,,
60,3,90,,
60,4,90,,
60,4,90,,
60,4,90,,
60,5,90,,
60,5,90,,
60,5,90,,
60,6,90,,
60,6,90,,
60,6,90,,
60,7,90,,
60,7,90,,
60,7,90,,
60,8,90,,
60,8,90,,
60,8,90,,
60,2,100,,
60,2,100,,
60,2,100,,
60,3,100,,
60,3,100,,
60,3,100,,
60,4,100,,
60,4,100,,
60,4,100,,
60,5,100,,
60,5,100,,
60,5,100,,
60,6,100,,
60,6,100,,
60,6,100,,
60,7,100,,
60,7,100,,
60,7,100,,
60,8,100,,
60,8,100,,
60,8,100,,
70,2,10,,
70,2,10,,
70,2,10,,
70,3,10,NP,NP
70,3,10,,
70,3,10,,
70,4,10,NP,NP
70,4,10,,
70,4,10,,
70,5,10,NP,NP
70,5,10,,
70,5,10,,
70,6,10,NP,NP
70,6,10,,
70,6,10,,
70,7,10,NP,NP
70,7,10,,
70,7,10,,
70,8,10,NP,NP
70,8,10,,
70,8,10,,
70,2,20,,
70,2,20,,
70,2,20,,
70,3,20,215.2,47.8
70,3,20,,
70,3,20,,
70,4,20,,52.8
70,4,20,,
70,4,20,,
70,5,20,165.8,55.4
70,5,20,,54.6
70,5,20,,
70,6,20,152.8,59.4
70,6,20,,59
70,6,20,,
70,7,20,NP,NP
70,7,20,,
70,7,20,,
70,8,20,,
70,8,20,,
70,8,20,,
70,2,30,,
70,2,30,,
70,2,30,,
70,3,30,48.2,47
70,3,30,,
70,3,30,,
70,4,30,,51.2
70,4,30,,
70,4,30,,
70,5,30,53.6,52.6
70,5,30,,53.8
70,5,30,,
70,6,30,56,58.2
70,6,30,,57.8
70,6,30,,
70,7,30,60.4,53.2
70,7,30,,
70,7,30,,
70,8,30,,
70,8,30,,
70,8,30,,
70,2,40,,
70,2,40,,
70,2,40,,
70,3,40,32.8,47.8
70,3,40,,
70,3,40,,
70,4,40,,48.8
70,4,40,,
70,4,40,,
70,5,40,37.2,52
70,5,40,,51.4
70,5,40,,
70,6,40,38.8,57.2
70,6,40,,57
70,6,40,,
70,7,40,40.8,51.2
70,7,40,,
70,7,40,,
70,8,40,,
70,8,40,,
70,8,40,,
70,2,50,,
70,2,50,,
70,2,50,,
70,3,50,X,X
70,3,50,,
70,3,50,,
70,4,50,,45.4
70,4,50,,
70,4,50,,
70,5,50,28.6,49.2
70,5,50,,48.6
70,5,50,,
70,6,50,30,53.2
70,6,50,,53.6
70,6,50,,
70,7,50,31.6,49
70,7,50,,
70,7,50,,
70,8,50,,
70,8,50,,
70,8,50,,
70,2,60,,
70,2,60,,
70,2,60,,
70,3,60,X,X
70,3,60,,
70,3,60,,
70,4,60,X,X
70,4,60,,
70,4,60,,
70,5,60,23.6,45.2
70,5,60,,45
70,5,60,,
70,6,60,23.8,50.2
70,6,60,,50
70,6,60,,
70,7,60,26.4,45.4
70,7,60,,
70,7,60,,
70,8,60,,
70,8,60,,
70,8,60,,
70,2,70,,
70,2,70,,
70,2,70,,
70,3,70,X,X
70,3,70,,
70,3,70,,
70,4,70,X,X
70,4,70,,
70,4,70,,
70,5,70,19.4,39.6
70,5,70,,38.6
70,5,70,,
70,6,70,21.2,43.6
70,6,70,,44.6
70,6,70,,
70,7,70,22.4,41.6
70,7,70,,
70,7,70,,
70,8,70,,
70,8,70,,
70,8,70,,
70,2,80,,
70,2,80,,
70,2,80,,
70,3,80,X,X
70,3,80,,
70,3,80,,
70,4,80,X,X
70,4,80,,
70,4,80,,
70,5,80,X,X
70,5,80,X,X
70,5,80,,
70,6,80,18.6,36.2
70,6,80,,38.2
70,6,80,,
70,7,80,20,36.8
70,7,80,,
70,7,80,,
70,8,80,,
70,8,80,,
70,8,80,,
70,2,90,,
70,2,90,,
70,2,90,,
70,3,90,,
70,3,90,,
70,3,90,,
70,4,90,,
70,4,90,,
70,4,90,,
70,5,90,,
70,5,90,,
70,5,90,,
70,6,90,,
70,6,90,,
70,6,90,,
70,7,90,,
70,7,90,,
70,7,90,,
70,8,90,,
70,8,90,,
70,8,90,,
70,2,100,,
70,2,100,,
70,2,100,,
70,3,100,,
70,3,100,,
70,3,100,,
70,4,100,,
70,4,100,,
70,4,100,,
70,5,100,,
70,5,100,,
70,5,100,,
70,6,100,,
70,6,100,,
70,6,100,,
70,7,100,,
70,7,100,,
70,7,100,,
70,8,100,,
70,8,100,,
70,8,100,,
80,2,10,,
80,2,10,,
80,2,10,,
80,3,10,NP,NP
80,3,10,NP,NP
80,3,10,,
80,4,10,NP,NP
80,4,10,,
80,4,10,,
80,5,10,NP,NP
80,5,10,NP,NP
80,5,10,,
80,6,10,,
80,6,10,,
80,6,10,,
80,7,10,NP,NP
80,7,10,NP,NP
80,7,10,,
80,8,10,NP,NP
80,8,10,,
80,8,10,,
80,2,20,,
80,2,20,,
80,2,20,,
80,3,20,97.6,64.2
80,3,20,103.8,60
80,3,20,,
